customer_field;biqh_import_field;description;biqh_column_data_type;biqh_table_schema;biqh_parent_table_name;biqh_parent_column_name;biqh_relation_table_name;biqh_relation_column_name;biqh_relation_column_value;biqh_relation_column_data_type;biqh_link_table_name;remarks
3YUniquePP;UniquePricePoint3y;;int;dbo;Curve;UniquePricePoint;Tenor;Code;3Y;nvarchar(50);Listing;
3YUniquePP1WMA;UniquePricePoint3y1w;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
3YUniquePP1MMA;UniquePricePoint3y1m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
3YUniquePP2MMA;UniquePricePoint3y2m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
3YDealersCount;DealerQuoteSizeTenor3y;;int;dbo;Curve;DealerQuoteSizeTenor;Tenor;Code;3Y;nvarchar(50);Listing;
DC3Y1WMA;DealerQuoteSizeTenor3y1w;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC3Y1MMA;DealerQuoteSizeTenor3y1m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC3Y2MMA;DealerQuoteSizeTenor3y2m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
3YQuotesCount;QuoteSizeTenor3y;;int;dbo;Curve;QuoteSizeTenor;Tenor;Code;3Y;nvarchar(50);Listing;
QC3Y1WMA;QuoteSizeTenor3y1w;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
QC3Y1MMA;QuoteSizeTenor3y1m;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
QC3Y2MMA;QuoteSizeTenor3y2m;;int;dbo;QualityMonitor;QuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODUpf4YMid;UpfrontValueMid4y;;decimal(38.15);dbo;Curve;UpfrontValueMid;Tenor;Code;4Y;nvarchar(50);Listing;
Upf4YBASpread;UpfrontBidAskSpread4y;;decimal(38.15);dbo;Curve;UpfrontBidAskSpread;Tenor;Code;4Y;nvarchar(50);Listing;
