ISIN,RIC,Currency Code,Trade Date,Close Price,MIC
DE000A168Y55,DEA168Y5=RRPS,EUR,9/9/2025,99.192,XAMS
DE000A19X8C0,DE179624923=RRPS,EUR,9/9/2025,87.533,XAMS
DE000A1KRJT0,DEA1KRJT=RRPS,EUR,9/9/2025,96.644,XAMS
DE000A1R06C5,DEA1R06C=RRPS,EUR,9/9/2025,99.798,XAMS
DE000A255D88,DEA255D8=RRPS,EUR,9/9/2025,90.541,XAMS
DE000A289KZ5,DEA289KZ=RRPS,EUR,9/9/2025,96.221,XAMS
DE000A289LD0,DEA289LD=RRPS,EUR,9/9/2025,93.116,XAMS
DE000A289LU4,DEA289LU=RRPS,EUR,9/9/2025,95.013,XAMS
DE000A289PC3,DEA289PC=RRPS,EUR,9/9/2025,99.994,XAMS
DE000A2AAPL9,DEA2AAPL=RRPS,EUR,9/9/2025,97.9,XAMS
DE000A2AARF7,DEA2AARF=RRPS,EUR,9/9/2025,98.14,XAMS
DE000A2BPA51,DE149769196=RRPS,EUR,9/9/2025,88.691,XAMS
DE000A2BPJ86,DEA2BPJ8=RRPS,EUR,9/9/2025,97.003,XAMS
DE000A2E4GS9,DEA2E4GS=RRPS,EUR,9/9/2025,97.33,XAMS
DE000A2E4X14,DEA2E4X1=RRPS,EUR,9/9/2025,97.654,XAMS
DE000A2G9HL9,DEA2G9HL=RRPS,EUR,9/9/2025,95.121,XAMS
DE000A2GSE59,DEA2GSE5=RRPS,EUR,9/9/2025,90.28,XAMS
DE000A2GSFA2,DEA2GSFA=RRPS,EUR,9/9/2025,96.907,XAMS
DE000A2LQPQ1,DEA2LQPQ=RRPS,EUR,9/9/2025,101.178,XAMS
DE000A2R8V63,DE000A2R8V63=TE,EUR,,,XETR
DE000A2RWAY2,DE193612296=RRPS,EUR,9/9/2025,95.492,XAMS
DE000A2TR6M3,DEA2TR6M=RRPS,EUR,9/9/2025,96.629,XAMS
DE000A2TSTG3,DE111730806=RRPS,EUR,9/9/2025,94.21,XAMS
DE000A2YNWB9,DEA2YNWB=RRPS,EUR,9/9/2025,99.043,XAMS
DE000A2YPFW5,DEA2YPFW=RRPS,EUR,9/9/2025,78.947,XAMS
DE000A30V257,DEA30V25=RRPS,EUR,9/9/2025,102.109,XAMS
DE000A30V380,DEA30V38=RRPS,EUR,9/9/2025,99.919,XAMS
DE000A30V4A0,DEA30V4A=RRPS,EUR,9/9/2025,100.316,XAMS
DE000A30V4B8,DEA30V4B=RRPS,EUR,9/9/2025,99.864,XAMS
DE000A30V5F6,DEA30V5F=RRPS,EUR,9/9/2025,101.718,XAMS
DE000A30V5G4,DEA30V5G=RRPS,EUR,9/9/2025,101.045,XAMS
DE000A30V9M4,DEA30V9M=RRPS,EUR,9/9/2025,100.931,XAMS
DE000A30VG92,DEA30VG9=RRPS,EUR,9/9/2025,101.037,XAMS
DE000A30VPL3,DE253685263=RRPS,EUR,9/9/2025,101.512,XAMS
DE000A30VQ09,DE256083485=RRPS,EUR,9/9/2025,103.293,XAMS
DE000A30WF27,DEA30WF2=RRPS,EUR,9/9/2025,101.066,XAMS
DE000A30WF84,DEA30WF8=RRPS,EUR,9/9/2025,102.844,XAMS
DE000A31RJ45,DEA31RJ4=RRPS,EUR,9/9/2025,101.397,XAMS
DE000A3514E6,DE000A3514E6=RRPS,EUR,9/9/2025,103.158,XAMS
DE000A3514F3,DE000A3514F3=RRPS,EUR,9/9/2025,103.276,XAMS
DE000A351MA2,DEA351MA=RRPS,EUR,9/9/2025,156.324,XAMS
DE000A351XF8,DEA351XF=RRPS,EUR,9/9/2025,98.373,XAMS
DE000A351XK8,DEA351XK=RRPS,EUR,9/9/2025,102.666,XAMS
DE000A351XS1,DEA351XS=RRPS,EUR,9/9/2025,101.95,XAMS
DE000A351ZR8,DE000A351ZR8=RRPS,EUR,9/9/2025,101.59,XAMS
DE000A351ZS6,DE000A351ZS6=RRPS,EUR,9/9/2025,104.204,XAMS
DE000A3823H4,DE000A3823H4=RRPS,EUR,9/9/2025,106.5,XAMS
DE000A3823S1,DE000A3823S1=RRPS,EUR,9/9/2025,102.834,XAMS
DE000A382475,DEA38247=RRPS,EUR,9/9/2025,101.266,XAMS
DE000A3824G4,DE000A3824G4=RRPS,EUR,9/9/2025,101.502,XAMS
DE000A3825P2,DEA3825P=RRPS,EUR,9/9/2025,100.263,XAMS
DE000A3825R8,DEA3825R=RRPS,EUR,9/9/2025,100.459,XAMS
DE000A382616,DEA38261=RRPS,EUR,9/9/2025,101.834,XAMS
DE000A382632,DEA38263=RRPS,EUR,9/9/2025,101.054,XAMS
DE000A383BP6,DE000A383BP6=RRPS,EUR,9/9/2025,102.347,XAMS
DE000A383G15,DE000A383G15=RRPS,EUR,9/9/2025,100.85,XAMS
DE000A383QR0,DE288784094=RRPS,EUR,9/9/2025,97.546,XAMS
DE000A383QT6,DEA383QT=RRPS,EUR,9/9/2025,100.335,XAMS
DE000A383RA4,DEA383RA=RRPS,EUR,9/9/2025,98.856,XAMS
DE000A383SL9,DEA383SL=RRPS,EUR,9/9/2025,100.384,XAMS
DE000A383YA0,DEA383YA=RRPS,EUR,9/9/2025,98.495,XAMS
DE000A3E5TU4,DEA3E5TU=RRPS,EUR,9/9/2025,94.185,XAMS
DE000A3E5UY4,DEA3E5UY=RRPS,EUR,9/9/2025,97.688,XAMS
DE000A3E5XN1,DEA3E5XN=RRPS,EUR,9/9/2025,85.798,XAMS
DE000A3H25W0,DEA3H25W=RRPS,EUR,9/9/2025,100.548,XAMS
DE000A3H2Y32,DEA3H2Y3=RRPS,EUR,9/9/2025,98.885,XAMS
DE000A3KNQA0,DE232331330=RRPS,EUR,9/9/2025,83.723,XAMS
DE000A3LH6T7,DE000A3LH6T7=RRPS,EUR,9/9/2025,100.885,XAMS
DE000A3LH6U5,DE000A3LH6U5=RRPS,EUR,9/9/2025,103.698,XAMS
DE000A3LHK80,DE000A3LHK80=RRPS,EUR,9/9/2025,103.383,XAMS
DE000A3LKBD0,DEA3LKBD=RRPS,EUR,9/9/2025,100.257,XAMS
DE000A3LWGE2,DE000A3LWGE2=RRPS,EUR,9/9/2025,101.603,XAMS
DE000A3LZUB2,DE000A3LZUB2=RRPS,EUR,9/9/2025,102.923,XAMS
DE000A3MP4V7,DE238283329=RRPS,EUR,9/9/2025,82.947,XAMS
DE000A3MP5K7,DEA3MP5K=RRPS,EUR,9/9/2025,100.664,XAMS
DE000A3MP5P6,DEA3MP5P=RRPS,EUR,9/9/2025,95.629,XAMS
DE000A3MP619,DEA3MP61=RRPS,EUR,9/9/2025,93.394,XAMS
DE000A3MQA98,DEA3MQA9=RRPS,EUR,9/9/2025,92.837,XAMS
DE000A3MQU11,DEA3MQU1=RRPS,EUR,9/9/2025,101.701,XAMS
DE000A3MQUY1,DEA3MQUY=RRPS,EUR,9/9/2025,100.325,XAMS
DE000A3MQUZ8,DEA3MQUZ=RRPS,EUR,9/9/2025,101.608,XAMS
DE000A3MQXZ2,DEA3MQXZ=RRPS,EUR,9/9/2025,91.107,XAMS
DE000A3MQYT3,DEA3MQYT=RRPS,EUR,9/9/2025,97.786,XAMS
DE000A3T0YH5,DEA3T0YH=RRPS,EUR,9/9/2025,99.274,XAMS
DE000A4DE2R2,DEA4DE2R=RRPS,EUR,9/9/2025,98.068,XAMS
DE000A4DE9W7,DEA4DE9W=RRPS,EUR,9/9/2025,99.953,XAMS
DE000A4DE9Y3,DE000A4DE9Y3=RRPS,EUR,9/9/2025,100.804,XAMS
DE000A4DFCB7,DEA4DFCB=RRPS,EUR,9/9/2025,102.012,XAMS
DE000A4DFCK8,DE000A4DFCK8=RRPS,EUR,9/9/2025,100.841,XAMS
DE000A4DFH60,DEA4DFH6=RRPS,EUR,9/9/2025,100.312,XAMS
DE000A4DFHK7,DEA4DFHK=RRPS,EUR,9/9/2025,99.514,XAMS
DE000A4DFHL5,DEA4DFHL=RRPS,EUR,9/9/2025,100.311,XAMS
DE000A4DFLN3,DE000A4DFLN3=RRPS,EUR,9/9/2025,103,XAMS
DE000A4DFSK4,DEA4DFSK=RRPS,EUR,9/9/2025,99.907,XAMS
DE000A4DFTY3,DEA4DFTY=RRPS,EUR,9/9/2025,100.319,XAMS
DE000A4EF8U1,NL317360312=RRPS,USD,9/9/2025,101.263,XAMS
DE000A4EFPS1,DE000A4EFPS1=RRPS,EUR,9/9/2025,100.027,XAMS
DE000A4M7VR1,DEA4M7VR=RRPS,EUR,9/9/2025,99.186,XAMS
DE000AAR0314,DEAAR031=RRPS,EUR,9/9/2025,90.182,XAMS
DE000AAR0389,DEAAR038=RRPS,EUR,9/9/2025,100.423,XAMS
DE000AAR0397,DEAAR039=RRPS,EUR,9/9/2025,101.188,XAMS
DE000AAR0421,DEAAR042=RRPS,EUR,9/9/2025,102.841,XAMS
DE000BHY0GL4,DEBHY0GL=RRPS,EUR,9/9/2025,96.112,XAMS
DE000BHY0GM2,DEBHY0GM=RRPS,EUR,9/9/2025,101.48,XAMS
DE000BHY0GT7,DE262839940=RRPS,EUR,9/9/2025,101.559,XAMS
DE000BHY0JD5,DEBHY0JD=RRPS,EUR,9/9/2025,94.135,XAMS
DE000BHY0MX7,DEBHY0MX=RRPS,EUR,9/9/2025,99.377,XAMS
DE000BHY0SB0,DEBHY0SB=RRPS,EUR,9/9/2025,94.15,XAMS
DE000BHY0SP0,DEBHY0SP=RRPS,EUR,9/9/2025,100.573,XAMS
DE000BLB6H95,DEBLB6H9=RRPS,EUR,9/9/2025,99.996,XAMS
DE000BLB6J10,DEBLB6J1=RRPS,EUR,9/9/2025,101.556,XAMS
DE000BLB6JB7,DEBLB6JB=RRPS,EUR,9/9/2025,99.501,XAMS
DE000BLB6JH4,DEBLB6JH=RRPS,EUR,9/9/2025,94.699,XAMS
DE000BLB6JL6,DEBLB6JL=RRPS,EUR,9/9/2025,90.839,XAMS
DE000BLB8XG3,DEBLB8XG=RRPS,EUR,9/9/2025,100.41,XAMS
DE000BU0E261,DEBU0E26=RRPS,EUR,9/9/2025,99.158,XAMS
DE000BU22023,DEBU2202=RRPS,EUR,9/9/2025,100.02,XAMS
DE000BU22064,DEBU2206=RRPS,EUR,9/9/2025,100.768,XAMS
DE000BU22072,DEBU2207=RRPS,EUR,9/9/2025,100.084,XAMS
DE000BU22080,DEBU2208=RRPS,EUR,9/9/2025,100.386,XAMS
DE000BU22098,DEBU2209=RRPS,EUR,9/9/2025,99.596,XAMS
DE000BU25000,DEBU2500=RRPS,EUR,9/9/2025,100.625,XAMS
DE000BU25042,DEBU2504=RRPS,EUR,9/9/2025,100.947,XAMS
DE000BU25059,DEBU2505=RRPS,EUR,9/9/2025,99.849,XAMS
DE000BU2Z007,DEBU2Z00=RRPS,EUR,9/9/2025,98.994,XAMS
