customer_field,biqh_import_field,description,biqh_column_data_type,biqh_table_schema,biqh_parent_table_name,biqh_parent_column_name,biqh_relation_table_name,biqh_relation_column_name,biqh_relation_column_value,biqh_relation_column_data_type,biqh_link_table_name,remarks
Bid Convexity,BidConvexity,,decimal(21.6),dbo,LastPriceBid,BidConvexity,LastPrice,LastPriceBidId,,int,Listing,
Mid Convexity,MidConvexity,,decimal(21.6),dbo,LastPriceMid,MidConvexity,LastPrice,LastPriceMidId,,int,Listing,
Ask Convexity,AskConvexity,,decimal(21.6),dbo,LastPriceAsk,AskConvexity,LastPrice,LastPriceAskId,,int,Listing,
Bid OAS,OptionAdjustedSpreadBid,,decimal(21.6),dbo,LastPriceBid,OptionAdjustedSpreadBid,LastPrice,LastPriceBidId,,int,Listing,
Mid OAS,OptionAdjustedSpreadMid,,decimal(21.6),dbo,LastPriceMid,OptionAdjustedSpreadMid,LastPrice,LastPriceMidId,,int,Listing,
Ask OAS,OptionAdjustedSpreadAsk,,decimal(21.6),dbo,LastPriceAsk,OptionAdjustedSpreadAsk,LastPrice,LastPriceAskId,,int,Listing,
Bid Effective Duration,EffectiveDurationBid,,decimal(21.6),dbo,LastPriceBid,EffectiveDurationBid,LastPrice,LastPriceBidId,,int,Listing,
Mid Effective Duration,EffectiveDurationMid,,decimal(21.6),dbo,LastPriceMid,EffectiveDurationMid,LastPrice,LastPriceMidId,,int,Listing,
Ask Effective Duration,EffectiveDurationAsk,,decimal(21.6),dbo,LastPriceAsk,EffectiveDurationAsk,LastPrice,LastPriceAskId,,int,Listing,
Bid Effective Convexity,EffectiveConvexityBid,,decimal(21.6),dbo,LastPriceBid,EffectiveConvexityBid,LastPrice,LastPriceBidId,,int,Listing,
Mid Effective Convexity,EffectiveConvexityMid,,decimal(21.6),dbo,LastPriceMid,EffectiveConvexityMid,LastPrice,LastPriceMidId,,int,Listing,
Ask Effective Convexity,EffectiveConvexityAsk,,decimal(21.6),dbo,LastPriceAsk,EffectiveConvexityAsk,LastPrice,LastPriceAskId,,int,Listing,
Bond Agency Data,IsBondAgency,,boolean,dbo,Contributor,IsBondAgency,,,,,Listing,
iBoxx Data,IsIBoxx,,boolean,dbo,Contributor,IsIBoxx,,,,,Listing,
Markit Composite Data,IsMarkitComposite,,boolean,dbo,Contributor,IsMarkitComposite,,,,,Listing,
Markit Contribution Data,IsMarkitContribution,,boolean,dbo,Contributor,IsMarkitContribution,,,,,Listing,
Quote Data,IsQuote,,boolean,dbo,Contributor,IsQuote,,,,,Listing,
Trace Data,IsTrace,,boolean,dbo,Contributor,IsTrace,,,,,Listing,
Interdealer broker data,IsInterdealerBroker,,boolean,dbo,Contributor,IsInterdealerBroker,,,,,Listing,
Primary Issuer Curve,PrimaryIssuerCurve,,int,dbo,Curve,Symbol,,,,,Listing,
Liquidity asof,LiquidityDate,,date,dbo,Curve,LiquidityDate,,,,,Listing,
Liquidity Score,LiquidityScore,,int,dbo,Curve,LiquidityScore,,,,,Listing,
Liquidity Score 7 Day,LiquidityScore7d,,int,dbo,QualityMonitor,LiquidityScore,Period,Code,7 Day,nvarchar(50),CurveQualityMonitor,
Liquidity Score 7 Day Count,LiquidityScoreSize7d,,int,dbo,QualityMonitor,LiquidityScoreSize,Period,Code,7 Day,nvarchar(50),CurveQualityMonitor,
Liquidity Score 30 Day,LiquidityScore30d,,int,dbo,QualityMonitor,LiquidityScore,Period,Code,30 Day,nvarchar(50),CurveQualityMonitor,
